time,OCV
733.0,3.6344450000000004
734.0,3.6337699999999997
735.0,3.6330899999999997
736.0,3.632335
737.0,3.63183
738.0,3.631075
739.0,3.630395
740.0,3.62972
741.0,3.62905
742.0,3.628375
743.0,3.627785
744.0,3.62711
745.0,3.626435
746.0,3.6257600000000005
747.0,3.625
748.0,3.624415
749.0,3.623825
750.0,3.623145
751.0,3.622475
752.0,3.6218
753.0,3.62113
754.0,3.620535
755.0,3.61986
756.0,3.61919
757.0,3.618595
758.0,3.61792
759.0,3.6172500000000003
760.0,3.6166599999999995
761.0,3.6159850000000002
762.0,3.61531
763.0,3.614635
764.0,3.6139650000000003
765.0,3.6133699999999997
766.0,3.612695
767.0,3.6119399999999997
768.0,3.6112649999999995
769.0,3.610595
770.0,3.609915
771.0,3.609155
772.0,3.6085700000000003
773.0,3.6078099999999997
774.0,3.60705
775.0,3.6062950000000003
776.0,3.6055349999999997
777.0,3.604775
778.0,3.6040150000000004
779.0,3.603255
780.0,3.6024200000000004
781.0,3.60166
782.0,3.600815
783.0,3.60006
784.0,3.599215
785.0,3.598455
786.0,3.59753
787.0,3.5967699999999994
788.0,3.5959250000000003
789.0,3.595085
790.0,3.5942399999999997
791.0,3.5934800000000005
792.0,3.5926400000000003
793.0,3.5918799999999997
794.0,3.5910400000000005
795.0,3.5903650000000003
796.0,3.5895200000000003
797.0,3.5887649999999995
798.0,3.588005
799.0,3.5872450000000002
800.0,3.5864900000000004
801.0,3.5856449999999995
802.0,3.5848850000000003
803.0,3.584045
804.0,3.583285
805.0,3.582525
806.0,3.5816
807.0,3.58084
808.0,3.58
809.0,3.579155
810.0,3.57831
811.0,3.57747
812.0,3.5767100000000003
813.0,3.5758650000000003
814.0,3.575025
815.0,3.57418
816.0,3.573335
817.0,3.572665
818.0,3.571905
819.0,3.571145
820.0,3.570475
821.0,3.5697149999999995
822.0,3.5690399999999998
823.0,3.568365
824.0,3.567775
825.0,3.567105
826.0,3.566515
827.0,3.56592
828.0,3.565335
829.0,3.5647400000000005
830.0,3.56415
831.0,3.56365
